gene_id,E2_rep1,E2_rep2,untr_rep1,untr_rep2
ENSG00000080166.11,3,1,2,5
ENSG00000204449.2,3,4,3,3
ENSG00000135677.6,7109,6343,6091,5880
ENSG00000161036.6,880,721,636,479
ENSG00000178105.5,518,377,235,174
ENSG00000084733.6,3930,3590,3171,2979
ENSG00000135222.6,0,0,0,0
ENSG00000138092.6,753,350,468,231
ENSG00000105639.14,28,55,37,24
ENSG00000135870.7,1895,1367,852,1276
ENSG00000186117.2,0,0,0,0
ENSG00000105647.10,2081,1750,1531,1687
ENSG00000261739.2,1,2,1,1
ENSG00000176659.5,2,1,0,3
ENSG00000169564.5,7439,6112,5804,5430
ENSG00000203818.6,13,10,14,14
ENSG00000225683.1,0,0,0,0
ENSG00000166986.8,3672,2931,2739,2377
ENSG00000173898.7,2243,1951,2229,1855
ENSG00000148468.12,31,32,11,26
ENSG00000205362.6,0,0,1,0
ENSG00000107731.8,105,98,47,68
ENSG00000255046.1,0,0,0,0
ENSG00000150316.7,565,526,546,481
ENSG00000267884.1,3,7,3,2
ENSG00000212935.1,0,0,0,0
ENSG00000149305.2,3,2,1,3
ENSG00000108854.11,1356,1004,1016,969
ENSG00000082269.12,10,11,27,20
ENSG00000135093.8,471,237,394,340
ENSG00000168404.8,76,35,31,47
ENSG00000196748.5,2,3,1,3
ENSG00000160229.7,134,99,108,96
ENSG00000111641.6,1181,729,495,393
ENSG00000118242.11,3019,2870,1411,1207
ENSG00000203780.6,215,107,156,99
ENSG00000178828.5,0,0,0,0
ENSG00000105963.9,733,592,564,460
ENSG00000166535.15,20,27,9,28
ENSG00000160223.12,1225,1085,984,487
ENSG00000174348.9,0,1,1,2
ENSG00000137200.8,2047,1642,1902,1521
ENSG00000109805.5,1377,1256,1350,1282
ENSG00000103494.8,67,38,53,14
ENSG00000127329.10,19,9,13,17
ENSG00000173991.5,50,37,33,23
ENSG00000047648.17,12,12,11,23
ENSG00000101197.8,5,4,0,3
ENSG00000143028.7,11,6,7,7
ENSG00000175634.10,1166,1048,972,915
ENSG00000198752.5,5131,4223,4301,3859
ENSG00000258677.2,14,17,23,12
ENSG00000204539.3,0,0,0,2
ENSG00000112110.5,689,568,499,465
ENSG00000144199.7,97,82,134,99
ENSG00000143183.12,509,404,423,348
ENSG00000140297.8,3,1,4,3
