"E2up_split"
"ENSG00000139675.10" "ENSG00000139675"
"ENSG00000196935.4" "ENSG00000196935"
"ENSG00000108352.7" "ENSG00000108352"
"ENSG00000004478.5" "ENSG00000004478"
"ENSG00000161010.10" "ENSG00000161010"
"ENSG00000243566.2" "ENSG00000243566"
"ENSG00000140836.10" "ENSG00000140836"
"ENSG00000272962.1" "ENSG00000272962"
"ENSG00000157110.11" "ENSG00000157110"
"ENSG00000152952.7" "ENSG00000152952"
"ENSG00000257529.1" "ENSG00000257529"
"ENSG00000250151.5" "ENSG00000250151"
"ENSG00000148488.11" "ENSG00000148488"
